Respondent,DevType,ConvertedSalary
1,Full-stack developer,NA
3,Database administrator,British pounds sterling (£)
4,Engineering manager,NA
5,Full-stack developer,NA
7,Data or business analyst,My job status or other personal status changed
8,Back-end developer,British pounds sterling (£)
9,Back-end developer,120000
10,Designer,NA
11,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",250000
16,Designer,NA
17,Back-end developer,NA
18,Back-end developer,NA
19,Back-end developer,NA
20,Back-end developer,NA
21,Back-end developer,0
22,Full-stack developer,NA
26,Student,NA
27,Back-end developer,47904
29,Data or business analyst,NA
31,Back-end developer,NA
33,Database administrator,120000
34,Back-end developer,NA
37,Back-end developer,NA
38,Back-end developer,5
39,Mobile developer,10958
41,Full-stack developer,51408
43,Front-end developer,Yearly
44,Back-end developer,Monthly
45,Back-end developer,NA
46,Back-end developer,British pounds sterling (£)
47,Back-end developer,Monthly
50,Back-end developer,NA
51,Back-end developer,NA
52,Full-stack developer,60000
53,Designer,NA
54,Back-end developer,NA
55,Back-end developer,NA
56,Back-end developer,My job status or other personal status changed
57,Back-end developer,NA
59,Full-stack developer,NA
60,Data scientist or machine learning specialist,NA
61,Designer,Monthly
63,Full-stack developer,21228
66,Back-end developer,Yearly
67,Back-end developer,NA
71,Back-end developer,Indian rupees (₹)
72,Back-end developer,Yearly
75,Back-end developer,U.S. dollars ($)
76,Desktop or enterprise applications developer,I saw an employer’s advertisement
77,Back-end developer,NA
78,Back-end developer,NA
79,Back-end developer,Yearly
80,Full-stack developer,NA
81,Back-end developer,3
82,Designer,NA
83,Back-end developer,NA
84,Back-end developer,NA
85,Back-end developer,900
87,Back-end developer,6
88,Back-end developer,NA
89,Back-end developer,My job status or other personal status changed
90,Designer,NA
91,Back-end developer,NA
92,Full-stack developer,48955
95,"C-suite executive (CEO, CTO, etc.)",NA
96,Back-end developer,2500
97,Back-end developer,NA
98,Data or business analyst,NA
101,Mobile developer,NA
103,Back-end developer,6
105,Back-end developer,550000
106,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",NA
107,Back-end developer,NA
111,Back-end developer,3000
112,Mobile developer,NA
113,Desktop or enterprise applications developer,NA
117,Back-end developer,15200000
118,Back-end developer,NA
119,Back-end developer,NA
120,Back-end developer,British pounds sterling (£)
122,Back-end developer,300000
123,Embedded applications or devices developer,Yearly
124,Back-end developer,A friend told me about a job opportunity
125,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer",NA
126,Mobile developer,NA
127,Front-end developer,78000
129,Back-end developer,My job status or other personal status changed
131,Back-end developer,NA
